作者Coffeewater (淡淡的咖啡)看板Stock標題[標的] 2801 彰銀時間Fri Apr 28 22:11:42 2023
噓 ebey30918   : 低調 04/28 22:15

推 a0808996    : 彰銀未來降息 獲利應該也不會太差 04/28 22:15

推 liaodon     : 感覺 有搞頭 謝謝分享 04/28 22:16

噓 alan1126    : 低調 04/28 22:16

推 visadanny   : 已在車上 04/28 22:16

→ b9513227    : 第二大持股 嘻嘻 04/28 22:17

推 cl3bp6      : 你要他的股利 上個月底法說講不會差就該上車了 04/28 22:18

推 steveisaman : 已在車上 04/28 22:18

→ uv5566      : ptt法人股 04/28 22:19

推 jim82124    : 確實 04/28 22:20

推 poisonB     : 主流要從棄嬰改到彰銀了嗎 04/28 22:22

推 kiriru      : 彰銀戰車 開出來！ 04/28 22:23

推 tinoooii    : 大家都嫌棄的時候才該買 04/28 22:25

→ tinoooii    : 所以現在最被嫌棄的是誰？ 04/28 22:26

推 addy7533967 : 髒銀戰車 04/28 22:27

推 xiaoyao     : 嫌棄航運阿 你快買 04/28 22:28

推 Detonate    : 獲利還輸棄嬰我買不下去 04/28 22:30

→ apeople     : 永豐金表示：? 04/28 22:32

推 Detonate    : 未來一年內棄嬰漲到16比彰銀到20感覺簡單很多 還是 04/28 22:33

→ Detonate    : 買棄嬰 04/28 22:33

推 passenger10 : 最嫌棄的不是西瓜嗎XD 04/28 22:37

推 baseken     : 99彰銀 04/28 22:38

推 f204137     : 三商銀(一銀 華銀 彰銀)中最被低估的銀行 04/28 22:39

推 apeople     : 992887 04/28 22:40

推 fmp1234     : 西瓜XD 04/28 22:41

推 f204137     : 今年配息有去年不動產重估利益加持 少了被OCI拖累 04/28 22:42

→ f204137     : 明年OCI回升照樣能拿來分配 比今年好很有機會 04/28 22:43

推 sospeter    : 你要不要等彰銀獲利，先超過台企銀再說 04/28 22:44

推 a9940597    : 整天在那邊誰委屈 04/28 22:47

推 a0808996    : 資產表很有趣 04/28 22:47

推 sherlockman : 彰銀配息之前被酸的程度跟當初永豐9.X的位階有得比 04/28 22:47

推 sospeter    : 另華南金Q1成長逾3成，今開盤跌5%，也是撿便宜時機 04/28 22:49

推 smalljuju   : 委屈的遠銀是不是被遺棄了 04/28 22:55

推 shyshyan    : 遠銀要等認列完 慢慢等吧 04/28 22:56

推 coolfishman : 深入張營 還是買棄嬰 04/28 22:56

→ shyshyan    : 遠銀如果能複製棄嬰 10.x還是11.x撿 其實也沒差到 04/28 22:57

→ shyshyan    : 哪裡去 看自己吧 04/28 22:57

推 f204137     : 遠銀呆帳因素 獲利部份提列 成長性暫時被壓抑啊 04/28 22:57

→ shyshyan    : 彰銀跟棄嬰 同樣是官股 實際上彰銀就是比較得人疼 04/28 22:58

→ shyshyan    : 獲利沒有比較好 但是價格就是比棄嬰高 04/28 22:58

→ shyshyan    : 彰銀獲利從2020開始有變好 價格比2020低 進不進場 04/28 23:00

→ shyshyan    : 可以自己判斷吧 04/28 23:00

推 sospeter    : 成長股買在一次短暫利空時，眾人醉Ptt法人要醒啊 04/28 23:00

推 shyshyan    : 單論位階 檯面上應該沒幾家金融股位階比彰銀好 04/28 23:02

推 sospeter    : 彰銀不錯，但利多出來追，不如追短暫消息利空成長 04/28 23:08

→ sospeter    : 股 04/28 23:08

→ a9940597    : 自己判斷最重要，棄嬰上一波應該套很多跟風的 04/28 23:08

→ a9940597    : 開發金也是套一堆ptt跟風韮 04/28 23:09

推 ryusenming  : 華銀換彰銀感覺不錯 04/28 23:10

推 sospeter    : 棄嬰就短利空成長股，買跌停那天已經過10%，還會漲 04/28 23:12

推 sospeter    : 每人買法不同，反正買彰銀.企銀.華南，一年後都穩 04/28 23:15

→ sospeter    : 贏 04/28 23:15

推 sospeter    : 賺多.賺少差別而已 04/28 23:17

→ iamsosorry  : 都是企金放款為主 企銀獲利比彰銀好 股價比彰銀低 04/28 23:18

→ iamsosorry  : 那麼多 04/28 23:18

推 NotGiveUp   : 但是同學在彰銀，說彰銀很沒競爭力耶。還說因為不會 04/28 23:19

→ NotGiveUp   : 裁員，公司養了很多冗員 04/28 23:19

推 a0808996    : 2834 問題就呆帳吧 他主要是中小企業 04/28 23:20

→ iamsosorry  : 股價不是彰銀下往企銀靠 就是企銀上往彰銀靠 04/28 23:20

→ iamsosorry  : 官股除了兆豐都是中小企業放款 04/28 23:20

推 a0808996    : 比例還是有差ㄅ 看2834全名就知道了 04/28 23:22

→ a0808996    : 你不可否認的是2834 以前很長踩雷 04/28 23:23

推 sospeter    : 問企銀呆帳的，要不要去看企銀的逾放比.呆帳覆蓋率 04/28 23:25

→ sospeter    : ，狂勝彰銀 04/28 23:25

推 ryusenming  : 企銀前年還在9塊的時候其實備抵呆帳覆蓋率就上來了 04/28 23:32

→ ryusenming  : 只是那時沒啥人注意到吧 電視上有看到億元教授在提 04/28 23:33

→ ryusenming  : 後來很經典一大盤從高點開崩 企銀逆勢上漲破新高XD 04/28 23:34

推 a0808996    : 呆債覆蓋率只是減少踩雷的影響 不是減少踩雷的機率 04/28 23:35

→ a0808996    : 我主要是想說 2834主要放款給中小企業 04/28 23:35

推 ryusenming  : 中小企業不只企銀啦.現在銀行很競爭 04/28 23:38

推 a0808996    : 中小企業 授信品質本來就比較低 04/28 23:38

推 ryusenming  : https://i.imgur.com/Aaumh60.png 04/28 23:40

→ ryusenming  : 官銀又要配合政策 有些雷是不得不踩阿XD 04/28 23:41

推 a0808996    : 對阿 所以授信品質 就比較低 04/28 23:42

→ hahahalalala: 有就只有屌打棄嬰而已吧 04/28 23:42

→ hahahalalala: 講的好像變官股之首 04/28 23:42

→ ryusenming  : 之前疫情紓困貸款一堆阿哩不打的來借民銀都推給官銀 04/28 23:43

推 a0808996    : https://i.imgur.com/Tf1fUFY.jpg 04/28 23:44

→ a0808996    : 保守點的就是分批買阿~ 04/28 23:46

→ a0808996    : 也沒說 2834很爛 04/28 23:46

→ a0808996    : 我也不是沒存過2834 04/28 23:46

→ a0808996    : 不是分批買 是2種都買一點 04/28 23:47

→ a0808996    : 不用全壓再一隻身上 04/28 23:47

→ hahahalalala: 棄嬰只是今年配息差 獲利可是已經超越這支了喔 股 04/28 23:48

→ hahahalalala: 價還差不少 04/28 23:48

推 bigguy      : 棄嬰追不上彰銀 也會接近啦 明年見真章 04/28 23:51

推 sherlockman : 很多人等不了 04/28 23:53

推 a0808996    : 未來很難說拉 我2018初存台企銀 也是你們這麼想法xd 04/28 23:54

→ a0808996    : 後來怎樣xd 我只能說不要講太滿 04/28 23:54

推 a0808996    : 真的是地雷連踩xd 04/28 23:56

推 sospeter    : 台企銀2018逾放比.呆帳覆蓋率多少？現在多少？ 04/28 23:59

→ sospeter    : 資產品質天差地遠 04/28 23:59

推 a0808996    : 當初不就是 連續踩雷後面才導致 覆蓋率降低嗎 04/29 00:00

推 sospeter    : 官銀配合政府的各種紓困貸款，都有信保基金擔保 04/29 00:01

→ a0808996    : 2021 當時獲益差就是 把賺的都拿去提高覆蓋率了 04/29 00:01

→ a0808996    : 我沒記錯的話 當初是把賺的一半都拿去提列了 04/29 00:02

→ sospeter    : 政策貸款的企業呆帳，相對於亂放貸的暴雷，算是鼻 04/29 00:02

→ sospeter    : 屎 04/29 00:02

→ a0808996    : 就說了覆蓋率只是減少踩雷影響 不是機率 04/29 00:03

→ a0808996    : 最終還是要看2834 放給中小企授信品質如何 04/29 00:03

→ hahahalalala: 棄嬰2018年最高點買11.3到現在也賺不少啊 04/29 00:04

→ hahahalalala: 反觀章銀2018股價跟現在ㄎㄎ 04/29 00:05

推 a0808996    : 對阿 但是前提是你有抱到現在 04/29 00:05

→ a0808996    : 2018 19年股板就在喊棄嬰了 04/29 00:06

→ a0808996    : 我相信買在高點 停損的一堆 04/29 00:06

→ a0808996    : 那時候 04/29 00:06

推 iamsosorry  : 信保倒的至少還會賠 真的踩雷的是前董座大筆的爛帳 04/29 00:06

→ iamsosorry  : 中小企業放款送信保的根本不用怕 04/29 00:07

推 a0808996    : 我也沒說2834現在或未來不好啊 04/29 00:08

→ a0808996    : 只是說 小心點而已~ 04/29 00:08

推 zxcv820421  : 笑死 你以為信保會必賠喔 04/29 00:35

推 Atom        : 下次海嘯別期待有人會來幫了 04/29 00:39

推 a0808996    : 2834主要放款中小 現在又再升息年 04/29 00:50

→ a0808996    : 經濟下行 凡事小心~ 04/29 00:50

→ cityport    : 應該是棄滑男才對..防疫險也吃了不少 04/29 01:58

推 nisi0773    : 感謝分享！ 04/29 02:14

推 jeff0323    : 不錯 04/29 02:16

→ pearlQQ     : 大家快上 04/29 07:40

→ tenghui     : 這檔比較像純資產股 不大像銀行股 而且不要以爲位 04/29 08:18

→ tenghui     : 階低一定有往上空間 04/29 08:18

→ cl3bp6      : 股價長年在16~18之間跑 上一波跌到17以下就該買了 04/29 08:36

→ cl3bp6      : 就像你買2412不會漲上去才在追 04/29 08:36

推 mdkn35      : 三商銀最爭氣的 莫名其妙 04/29 09:24

推 ryusenming  : 這檔比較偏防禦性質吧xd 04/29 09:52

推 Lioneers    : 所以是哪幾家？跪求 04/29 10:05

推 lin1202     : 台中銀固定每年有夠穩的1.1左右 04/29 10:42

推 f204137     : https://i.imgur.com/pfmv3oW.jpg 便宜是比較出來的 04/29 11:35

