作者Paul1021 (胡迪)看板Stock標題[請益] 股票停利後繼續漲再加倍買回是好策略嗎時間Fri Nov 17 18:35:14 2023
推 joygo       : 是 11/17 18:35

→ MOMO0478    : 不要問 趕快上車 11/17 18:36

→ aimlikenoob : 緯創套在160的都這種 你會贏 快點買 11/17 18:37

推 Xenia1050   : 是 睏霸數錢 11/17 18:38

→ ganninian   : 當然好策略啊 追高殺低才是王道 11/17 18:39

推 TurtleGods  : 你是不是把皇昌賣掉了 11/17 18:41

推 Gipmydanger : https://i.imgur.com/bvBqOXe.jpg 11/17 18:42

→ fdkevin     : 通常加倍的時候就準備跌了 11/17 18:42

→ Gipmydanger : 複習一下https://i.imgur.com/wASJsbL.jpg 11/17 18:42

推 devidevi    : 4 11/17 18:43

→ devidevi    : 買進後繼續上漲就是好策略 11/17 18:44

推 gtoselina   : 50買不然你要100追嗎？建議直接歐印 11/17 18:44

→ DFIGHT      : 在公傻笑 你不會先賣三張五張 之後盤中也好當沖反 11/17 18:46

→ DFIGHT      : 悔 哪有人買梭哈 賣也梭哈 11/17 18:46

推 hwei9582905 : 這樣不就是追高？有夠韭 11/17 18:47

推 pisu        : 大部分的人賣了就不會追買了吧 11/17 18:48

推 lasma       : 事後才知道啊！賺了就是對的 11/17 18:49

→ DFIGHT      : 沒人什麼停利後又買的啦 你停利的理由是？ 你加倍 11/17 18:49

→ DFIGHT      : 買回的理由是？ 阿不會先賣20%股票 之後買多買少 11/17 18:49

→ DFIGHT      : 也不會難決定不是？ 投降輸一半聽過沒？ 沒人直接 11/17 18:49

→ DFIGHT      : 梭哈的啦 你賭神喔 11/17 18:49

→ pisu        : 除非賣一半還剩一半 才有可能追買回來 11/17 18:50

→ kainolife   : 通常賣了，就開始詛咒看壞他 11/17 18:51

→ sam2255     : 會這樣想我建議你到停利點不要賣反手再買一倍，這 11/17 18:51

→ sam2255     : 樣賺更快 11/17 18:51

噓 alway70345  : 買低賣高 11/17 18:53

→ Justisaac   : 為什麼只考慮加倍買回 而不是買看漲期權(call) 11/17 19:00

→ Justisaac   : 停利有可能是碰到壓力點 突破過去下單很合理 11/17 19:00

→ Justisaac   : 但比例是問題。 11/17 19:00

推 benchentw   : 有這種想法不適合做股票.. 11/17 19:02

推 yut698      : 我會找別的目標 11/17 19:02

推 NEX4036     : ㄏ 我阿緯29買39賣 88追回120再賣== 11/17 19:02

→ chenalms    : 位階問題，不宜買多 11/17 19:03

→ Justisaac   : 39~88發生了甚麼事XD 11/17 19:03

推 c928        : 無聊 11/17 19:03

推 sqt         : 你在想2355敬鵬嗎？ 11/17 19:04

推 NEX4036     : 就驚驚漲不敢追88終於受不了追高 11/17 19:06

→ NEX4036     : 結果120就被洗掉了 但其他支運氣就沒那麼好了@@ 11/17 19:06

噓 keepingtime : 能事先掌握股價漲跌就沒有人賠錢了！ 11/17 19:14

推 clamperni   : 何必單戀一枝花 11/17 19:17

→ rebel       : 感謝保羅賣光群聯 後面魚尾吃的真飽 11/17 19:17

推 DDDDRR      : 追高殺低才是一般人 11/17 19:17

推 SMG2016     : 除非跌到低於原停利價，否則應把眼光望向其他好股票 11/17 19:21

推 avmm9898    : 當然好 追漲就是跟著趨勢做 11/17 19:22

推 garyxd      : 大家都講什麼停損停利 反著做 買了就抱到死 賺最多 11/17 19:25

推 losehope    : 不建議追漲，低買高賣才是王道！ 11/17 19:25

→ x5723       : 追漲啊 法人都在追買愈買越高 11/17 19:25

→ allen1988   : 認錯買要少於賣出張數，不然買了以後被出貨回賣價 11/17 19:26

→ allen1988   : 以下怎麼辦？ 11/17 19:26

→ tedcat      : 策略好不好是事後諸葛 誰知道買了之後會不會就跌回 11/17 19:27

→ tedcat      : 去... 11/17 19:27

推 kalistanm   : 每次都獨立操作 會漲就買 11/17 19:30

