作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞] 全球AI是否過熱？台經院：不會發生2000年時間Tue Jul 25 18:42:16 2023

→ adriano7431 : 穩爆了 07/25 18:43

推 Shiver705   : 2008海嘯呢( 07/25 18:43

推 cuteSquirrel: 其實AI算是文藝復興 Data+硬體算力成長 再次復甦 07/25 18:43

→ bearian     : 相信政府相信黨 07/25 18:43

→ cuteSquirrel: 前面80~90s中間起來 又冷掉 資料+算力還不構 07/25 18:44

推 Orianna     : 其實泡沫又如何 so what 微軟蘋果哪個不是當時隨便 07/25 18:44

→ Orianna     : 買還是賺到翻 07/25 18:44

→ BlueBird5566: 筆電裝A I晶片要幹嘛 07/25 18:44

推 chuntien    : 整台AI都台灣端走 1500億隨便都吃個500億都吃不完 07/25 18:44

→ tmdl        : 跟著政府炒 蒿吐路死 07/25 18:45

→ Orianna     : 問題不在泡沫化 也不在短線漲跌 是你能不能避開yah 07/25 18:45

→ Orianna     : oo 我知道知易行難 但不會選股 買大盤etf阿 怕啥 07/25 18:45

→ chuntien    : 中國出局幾乎是獨佔了 07/25 18:45

噓 stationary  : 融資：沒到3000億泡沫不會破啦，天天漲停牛極蟹好吃 07/25 18:46

→ DAEVA       : 完了 07/25 18:47

推 oyaji5566   : 丸子 07/25 18:48

→ yu7038      : 問就是基本面良好 07/25 18:48

推 stanleyiane : 政府出來背書了，外資小兒又要認錯買回了！！ 07/25 18:48

噓 wen456789   : 不必去查 07/25 18:49

→ qoo10067    : 總之要抓最後一支 07/25 18:50

推 twerk       : 蘋果微軟是品牌廠 跟台灣代工廠還是有差的 07/25 18:50

推 baseken     : 丸子 07/25 18:51

推 qoo10067    : 假設Ai伺服器崩 當然對台股還好啊，後盾是護國神山 07/25 18:51

→ qoo10067    : 才是 07/25 18:51

推 j3gp6       : 要泡沫也是房市 呵呵 07/25 18:52

→ qoo10067    : 頂多1000 2000點而已 07/25 18:52

推 id44kimo    : 這次中國就沒份 07/25 18:53

推 shinyi444   : 那麼維護成本要多少呢？ 07/25 18:55

推 CHOOSEONE   : 政府說不會就是＿＿ 07/25 18:56

→ IBIZA       : AI的重點才不是算力，模型才是關鍵 07/25 18:57

→ IBIZA       : 就跟網路革命的關鍵不是網路設備，而是服務一樣 07/25 18:57

推 senria      : 穩囉~~~ 07/25 18:59

