作者village0817 (是我啦)看板Stock標題[情報] 6446藥華藥 Q1 EPS -2.44時間Wed May 10 18:27:36 2023
https://mops.twse.com.tw/mops/web/t05sr01_1

1.提報董事會或經董事會決議日期:112/05/10
2.審計委員會通過日期:112/05/10
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):112/01/01~112/03/31
4.1月1日累計至本期止營業收入(仟元):887,647
5.1月1日累計至本期止營業毛利(毛損) (仟元):754,476
6.1月1日累計至本期止營業利益(損失) (仟元):(725,473)
7.1月1日累計至本期止稅前淨利(淨損) (仟元):(760,017)
8.1月1日累計至本期止本期淨利(淨損) (仟元):(735,541)
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):(735,541)
10.1月1日累計至本期止基本每股盈餘(損失) (元):(2.44)
11.期末總資產(仟元):16,571,596
12.期末總負債(仟元):4,422,709
13.期末歸屬於母公司業主之權益(仟元):12,148,887
14.其他應敘明事項:無。

https://i.imgur.com/x6DGMWJ.jpg

噓 m4vu0       : 長榮：今年又要委屈一整年了？ 05/10 18:28

→ imlucky     : 全市場對長榮就是拿顯微鏡在看 05/10 18:28

→ fakelie     : 恐龍妹！ 05/10 18:29

推 ZXSC        : fu糗！ 05/10 18:30

推 tanchuchan  : 長榮你跟人家比什麼 你有FU糗嗎 05/10 18:32

→ faye112358  : 賠錢還幫人家運貨的佛心公司當然不能比 05/10 18:33

推 FirePopcorn : 一代飆股 05/10 18:35

噓 eric50809   : 臭糗 05/10 18:35

→ Dimitre     : 女神賣了嗎 05/10 18:47

推 Leo3492351  : 都跌爛了還能怎樣 05/10 18:47

推 yb3570srz   : 要相信哥 參數瀉天機 05/10 18:49

→ yb3570srz   : 導播 chech live 05/10 18:49

推 baseken     : 滿滿的fu 05/10 18:51

噓 Ogrish      : 2021 2022吹超大 05/10 18:56

噓 eric50809   : 超會吹 會被說不懂 05/10 18:57

推 yb3570srz   : 山不在高有仙則名 水不在深有龍則靈 05/10 18:58

→ yb3570srz   : 股市不在難 有阿__則已 05/10 18:58

推 Madridtop   : 沒50不買 05/10 19:01

推 Hoshan      : 負的 要噴了 05/10 19:01

噓 iPodmilk    : 股價居然還300多 05/10 19:03

→ c928        : 昔日藥王 05/10 19:05

推 truthzero   : 真是夠爛的 05/10 19:08

推 fbtm        : 女神再吹啊 05/10 19:08

→ fbtm        : 持股Q1至少還有0.5左右就被倒到快跌停 05/10 19:09

→ iio         : 小股本妖股隨便主力玩啊 想拉就拉 想殺就殺 05/10 19:13

推 lester6951  : 藥藥 藥藥 05/10 19:14

推 acd311      : 之前在吹的時後，股版說500以下隨便買 05/10 19:22

推 qqtab       : 之前還有人傳每月營收，現在都咕嚕了 05/10 19:33

推 tsukuyomii  : 笑死 營收一直增加 結果虧的越來越多 05/10 19:34

推 fourkg      : 越差越噴 噴噴 05/10 19:38

推 NEWinx      : 這個fu糗有多少人預見？ 05/10 19:41

推 tmc94       : 去年噴成這樣一直以為要賺錢了 05/10 20:01

推 maxboy06    : 骨版韭菜洗版就是要割惹 女神概念股？ 05/10 20:02

→ umaga1      : 去年噴到600多 到底怎麼噴的？eps一直都是負的 05/10 20:02

→ NEX4036     : 去年不能沖啊 靠籌碼換手做上去的 05/10 20:07

推 iPodmilk    : 慘兮兮 05/10 20:27

→ ssh713      : 當初一堆自以為很懂得在說啥一線用藥很賺阿 結果過 05/10 20:34

→ ssh713      : 了二年了還沒賺 問題在哪? 05/10 20:34

推 qqtab       : 去年說不看營收的，也不知道現在還能看什麼了 05/10 20:50

→ lluunnaa    : 每次點到EPS都會放棄下單QQ 05/10 21:31

推 chang505    : 專利閉鎖七年內能看到EPS轉正就不錯了 05/10 21:33

推 stocktonty  : 老爺救我 05/11 01:14

推 DennisLeeee : 這擋超讚！開放當沖後每天空10天贏8天 只跌不漲 05/11 14:15

推 angelo98    : 女神防線 05/19 23:59
