作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞]  美景氣夯小摩認錯 大升Q3經濟成長率至2.時間Tue Aug  8 15:11:45 2023

→ byby615     : 丸子 08/08 15:12

推 tomdavis    : 開吹卵著陸! 蛋疼! 08/08 15:12

→ h05691657   : 糕丸 08/08 15:14

推 binary9507  : 丸 08/08 15:15

推 suzu1       : 2.5%是不是比中國還爛啊 08/08 15:16

→ AndyMAX     : 中國經濟成長率要跟已開發國家比較了嗎 超英趕美 08/08 15:19

推 muserFW     : 中國基期那麼低去年還封控... 08/08 15:19

推 zizek       : 中國那個笑死人數據就不要拿出來丟人現眼了 08/08 15:20

→ zizek       : 經濟增長5% 進出口衰退十幾趴 這你敢信? 08/08 15:21

噓 leiouter    : 再騙 08/08 15:40

→ UltraSeven  : 胡說八道 08/08 15:42
